%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1738186831930184571,20,1738186831816744114,map,2.3332135677337646,-0.9859377145767212,-0.0821644514799118,-0.3070096862065927,0.15546732412151168,0.8122293406618653,0.47101870710235394,0.01900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01900000000000001
1738186832997611780,21,1738186832880329246,map,2.1875102519989014,-0.7754278182983398,-0.08390392363071442,-0.31578289869925213,0.14636276153977815,0.8314676301060947,0.43303653782808893,0.02000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02000000000000001
1738186834125720032,22,1738186833884555795,map,1.874081015586853,-0.7077035307884216,-0.0965174064040184,-0.3278187650084733,0.17509833849956477,0.8213912863962111,0.43265663028070783,0.02100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02100000000000001
1738186835017971246,23,1738186834898359251,map,1.617619276046753,-0.6300523281097412,-0.11137381196022034,-0.331372341291565,0.18654958789605605,0.8029508646828714,0.4589789134200578,0.022000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000013
1738186836060729110,24,1738186835952238842,map,1.3487286567687988,-0.8334683179855347,-0.0976124182343483,-0.2873789645713552,0.18481030764857614,0.7416579991592291,0.5772363689328176,0.023000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000000000013
1738186837121319372,25,1738186836952745282,map,1.158362627029419,-1.0875250101089478,-0.1061035543680191,-0.25063880846924486,0.20962424567720978,0.6607588237465705,0.6757482509604514,0.024000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000014
1738186838062474905,26,1738186837958575932,map,0.9262393712997437,-1.0461554527282715,-0.12641741335391998,-0.18382362070984953,0.26492483294930164,0.4901104774939762,0.8098243434464206,0.025000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000015
1738186839207872575,27,1738186839014460512,map,0.8978149890899658,-0.855150580406189,-0.07818243652582169,-0.0789381004944582,0.23430994831437194,0.26903391498156887,0.9308535692143567,0.029293496098379255,0.0020621913972604005,-0.006567015214484936,0.005046634081584501,0.0019182903454563489,0.00807003510043212,0.0020621913972604005,0.01989324900982302,-1.9912762149717352e-05,-0.00027691114575215646,6.195336411882826e-05,0.0019026992384013363,-0.006567015214484936,-1.9912762149717352e-05,0.038080132209789015,-0.014537328965514486,-0.004387114603101876,-0.005108588515307537,0.0050466340815845,-0.00027691114575215624,-0.014537328965514481,0.021322046969468888,-0.0004398352291620494,0.004324251798687147,0.001918290345456349,6.195336411882825e-05,-0.004387114603101875,-0.00043983522916204895,0.024055235978756292,3.796644203853391e-05,0.008070035100432122,0.0019026992384013367,-0.005108588515307536,0.004324251798687147,3.796644203853377e-05,0.015707254192475657
1738186840234999683,28,1738186840084737255,map,0.8537259697914124,-0.6040565371513367,0.03176603838801384,-0.01296139696788073,0.08581179734913354,0.2143709647953841,0.9728892173747717,0.030293496098379256,0.0020621913972604005,-0.006567015214484936,0.005046634081584501,0.0019182903454563489,0.00807003510043212,0.0020621913972604005,0.02089324900982302,-1.9912762149717352e-05,-0.00027691114575215646,6.195336411882826e-05,0.0019026992384013363,-0.006567015214484936,-1.9912762149717352e-05,0.039080132209789016,-0.014537328965514486,-0.004387114603101876,-0.005108588515307537,0.0050466340815845,-0.00027691114575215624,-0.014537328965514481,0.02232204696946889,-0.0004398352291620494,0.004324251798687147,0.001918290345456349,6.195336411882825e-05,-0.004387114603101875,-0.00043983522916204895,0.025055235978756293,3.796644203853391e-05,0.008070035100432122,0.0019026992384013367,-0.005108588515307536,0.004324251798687147,3.796644203853377e-05,0.016707254192475658
1738186841232483864,29,1738186841088660660,map,1.024763584136963,-0.4992751479148865,0.09118251502513885,0.023352039388557073,-0.012085305634011275,0.23538524688222925,0.9715463978195926,0.03129349609837925,0.0020621913972604005,-0.006567015214484936,0.005046634081584501,0.0019182903454563489,0.00807003510043212,0.0020621913972604005,0.02189324900982302,-1.9912762149717352e-05,-0.00027691114575215646,6.195336411882826e-05,0.0019026992384013363,-0.006567015214484936,-1.9912762149717352e-05,0.04008013220978902,-0.014537328965514486,-0.004387114603101876,-0.005108588515307537,0.0050466340815845,-0.00027691114575215624,-0.014537328965514481,0.02332204696946889,-0.0004398352291620494,0.004324251798687147,0.001918290345456349,6.195336411882825e-05,-0.004387114603101875,-0.00043983522916204895,0.026055235978756294,3.796644203853391e-05,0.008070035100432122,0.0019026992384013367,-0.005108588515307536,0.004324251798687147,3.796644203853377e-05,0.01770725419247566
